0,1,2,3,4,5,6,7,8,9,10,11,12
"[43.0, 'O', 0.13012044999999972, -0.1159879700000026, 0.9570843199999999]","[44.0, 'H', -0.3145344399999992, -0.9838587499999996, 1.2189703199999968]","[89.0, 'H', -1.2075395700000016, 0.9559638799999988, 2.106837409999997]","[98.0, 'H', 1.1468513899999984, -2.2748325000000023, 0.5856082899999997]",,,,,,,,,
"[25.0, 'O', 2.7314952600000026, -0.643582219999999, 0.10221583000000223]","[27.0, 'H', 1.79032621, -0.3497313300000009, 0.06432296000000193]","[47.0, 'H', -0.03349197000000004, -0.25485768000000064, -0.9547876299999984]","[48.0, 'H', -0.6984385399999979, 0.6989413300000002, 0.13517063000000107]","[73.0, 'O', 0.6612354400000022, -0.4722342899999994, -2.6280254399999983]","[148.0, 'O', -0.1059131200000003, -1.9822971500000008, 1.800120360000001]","[150.0, 'H', -0.11372830999999906, -1.2823402500000007, 1.094810680000002]",,,,,,
"[25.0, 'O', 2.7649872300000027, -0.38872453999999834, 1.0570034600000007]","[27.0, 'H', 1.82381818, -0.09487365000000025, 1.0191105900000004]","[46.0, 'O', 0.03349197000000004, 0.25485768000000064, 0.9547876299999984]","[48.0, 'H', -0.6649465699999979, 0.9537990100000009, 1.0899582599999995]","[73.0, 'O', 0.6947274100000023, -0.21737660999999875, -1.6732378099999998]","[74.0, 'H', 1.6052867400000004, -0.5723902899999977, -1.6136681300000006]","[75.0, 'H', 0.18930755000000232, -0.9378180199999981, -2.141631199999999]","[150.0, 'H', -0.08023633999999902, -1.02748257, 2.0495983100000004]",,,,,
"[18.0, 'H', -1.1826585200000004, 0.6698794499999998, 1.9651260899999983]","[27.0, 'H', 2.488764749999998, -1.0486726600000011, -0.07084766999999914]","[46.0, 'O', 0.6984385399999979, -0.6989413300000002, -0.13517063000000107]","[47.0, 'H', 0.6649465699999979, -0.9537990100000009, -1.0899582599999995]","[150.0, 'H', 0.5847102299999989, -1.981281580000001, 0.9596400500000009]",,,,,,,,
"[25.0, 'O', -0.28132660999999715, -1.9635092899999975, -2.0705988699999978]","[27.0, 'H', -1.2224956599999999, -1.6696583999999994, -2.108491739999998]","[50.0, 'H', 0.05935356000000169, -0.7296621799999983, -0.6551637499999998]","[51.0, 'H', -0.7794884499999988, -0.26953109999999825, 0.5878181200000014]","[181.0, 'O', -1.9819808499999994, -0.9357088899999972, 1.4084872600000011]",,,,,,,,
"[25.0, 'O', -0.34068016999999884, -1.2338471099999992, -1.415435119999998]","[26.0, 'H', -0.22904431999999986, -1.93367516, -2.125536969999999]","[27.0, 'H', -1.2818492200000016, -0.9399962200000012, -1.4533279899999982]","[49.0, 'O', -0.05935356000000169, 0.7296621799999983, 0.6551637499999998]","[51.0, 'H', -0.8388420100000005, 0.46013108, 1.2429818700000013]","[105.0, 'H', -1.0527838799999998, -1.7747735700000007, 2.0830425000000012]","[181.0, 'O', -2.041334410000001, -0.20604670999999897, 2.063651010000001]",,,,,,
"[49.0, 'O', 0.7794884499999988, 0.26953109999999825, -0.5878181200000014]","[50.0, 'H', 0.8388420100000005, -0.46013108, -1.2429818700000013]","[105.0, 'H', -0.2139418699999993, -2.2349046500000007, 0.84006063]","[181.0, 'O', -1.2024924000000006, -0.666177789999999, 0.8206691399999997]","[182.0, 'H', -1.2852738200000005, -0.34582024999999916, 1.761482879999999]","[183.0, 'H', -2.1091692500000008, -0.5363187700000012, 0.44135319000000095]",,,,,,,
"[19.0, 'O', 2.43444959, -1.3078895300000006, -0.092312849999999]","[20.0, 'H', 1.5404095600000005, -0.8666324700000025, -0.06719689000000173]","[32.0, 'H', 0.4010446899999991, 2.816898349999999, -0.09234934999999922]","[33.0, 'H', -0.10459121999999965, 2.5168841299999976, 1.3655652899999993]","[53.0, 'H', -0.18838990000000067, 0.3403743999999982, 0.9137471800000014]","[54.0, 'H', -0.5599189899999999, -0.8154477100000008, -0.06991041999999936]","[121.0, 'O', -0.8583588199999994, 0.8499549699999989, 2.4527402800000004]","[151.0, 'O', -1.4344682300000002, -2.1704759399999993, -0.28279301999999973]",,,,,
"[20.0, 'H', 1.7287994600000012, -1.2070068700000007, -0.9809440700000032]","[31.0, 'O', 0.6584281700000005, 2.7695934400000013, -0.06738671000000096]","[32.0, 'H', 0.5894345899999998, 2.4765239500000007, -1.0060965300000007]","[33.0, 'H', 0.08379868000000101, 2.1765097299999994, 0.45181810999999783]","[52.0, 'O', 0.18838990000000067, -0.3403743999999982, -0.9137471800000014]","[54.0, 'H', -0.37152908999999923, -1.155822109999999, -0.9836576000000008]","[121.0, 'O', -0.6699689199999987, 0.5095805700000007, 1.538993099999999]","[122.0, 'H', -0.3478536500000011, 0.9861304600000018, 2.3424555999999974]","[123.0, 'H', -1.619250300000001, 0.29923026000000164, 1.7737313499999985]",,,,
"[20.0, 'H', 2.1003285500000004, -0.05118476000000172, 0.0027135299999976326]","[52.0, 'O', 0.5599189899999999, 0.8154477100000008, 0.06991041999999936]","[53.0, 'H', 0.37152908999999923, 1.155822109999999, 0.9836576000000008]","[151.0, 'O', -0.8745492400000003, -1.3550282299999985, -0.21288260000000037]","[152.0, 'H', -1.8296832100000024, -1.265609659999999, 0.10026852999999747]","[153.0, 'H', -0.707166879999999, -2.30906783, -0.3010431000000011]",,,,,,,
